City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Mangaratiba,BR,-22.9597,-44.0406,67.26,61,15,8.48,few clouds
80,Albany,US,42.6001,-73.9662,73.27,70,24,7.9,few clouds
81,Tyrma,RU,50.0833,132.1667,83.53,39,9,2.93,clear sky
82,Adamovka,RU,51.5223,59.9396,81.39,52,6,12.33,clear sky
83,Ostrovnoy,RU,68.0531,39.5131,68.02,73,100,7.4,overcast clouds
84,Tuktoyaktuk,CA,69.4541,-133.0374,39.11,97,96,14.72,overcast clouds
85,Hami,CN,42.8,93.45,95.2,10,75,8.21,broken clouds
86,Novotroitskaya,RU,45.3267,41.5253,74.95,78,52,3.78,broken clouds
87,Half Moon Bay,US,37.4636,-122.4286,66.54,88,100,12.66,mist
88,Mar Del Plata,AR,-38.0023,-57.5575,44.87,70,100,11.99,overcast clouds
89,Luderitz,NA,-26.6481,15.1594,54.54,61,0,12.66,clear sky
90,Lebu,CL,-37.6167,-73.65,48.52,86,100,21.27,overcast clouds
91,Vaini,TO,-21.2,-175.2,75.67,76,38,17.78,scattered clouds
92,Waipawa,NZ,-41.4122,175.5153,52.2,88,100,12.93,light rain
93,Nuevo Progreso,MX,23.1667,-97.95,80.55,69,99,6.15,overcast clouds
94,Ambovombe,MG,-25.1667,46.0833,69.51,55,0,7.14,clear sky
95,Tiksi,RU,71.6872,128.8694,35.6,97,100,15.86,moderate rain
96,Aitape,PG,-3.1374,142.3475,85.73,66,83,8.23,broken clouds
97,Taoudenni,ML,22.6783,-3.9836,88.66,15,0,10.69,clear sky
98,Mpika,ZM,-11.8343,31.4529,59.14,69,4,9.08,clear sky
99,Manyana,BW,-23.4,21.7167,50.86,37,0,7.9,clear sky
100,Mangrol,IN,21.1167,70.1167,81.97,82,100,19.04,overcast clouds
101,Severo-Kurilsk,RU,50.6789,156.125,58.1,86,20,6.71,few clouds
102,Thompson,CA,55.7435,-97.8558,53.76,94,75,2.3,broken clouds
103,Alice Springs,AU,-23.7,133.8833,62.15,34,0,10.36,clear sky
104,Yar-Sale,RU,66.8333,70.8333,60.6,45,95,1.16,overcast clouds
105,Verkhnevilyuysk,RU,63.4453,120.3167,78.6,40,12,6.51,few clouds
106,Leningradskiy,RU,69.3833,178.4167,48.61,57,7,11.34,clear sky
107,Guilin,CN,25.2819,110.2864,90.61,63,69,7.56,broken clouds
108,Upernavik,GL,72.7868,-56.1549,38.86,82,16,2.44,few clouds
109,Anchorage,US,61.2181,-149.9003,67.98,66,100,17.27,overcast clouds
110,Faanui,PF,-16.4833,-151.75,77.99,76,0,11.56,light rain
111,Hokitika,NZ,-42.7167,170.9667,47.86,74,100,7.25,light rain
112,Mount Gambier,AU,-37.8333,140.7667,48.11,93,75,6.91,light rain
113,Avarua,CK,-21.2078,-159.775,71.65,83,100,3.44,overcast clouds
114,Longyearbyen,SJ,78.2186,15.6401,49.84,76,75,3.44,light rain
115,Karatau,KZ,43.1667,70.4667,87.28,21,38,4.83,scattered clouds
116,Khatanga,RU,71.9667,102.5,36.01,97,100,13.04,moderate rain
117,Svetlaya,RU,46.5389,138.3297,64.65,94,100,6.69,overcast clouds
118,Moses Lake,US,47.1301,-119.2781,79.16,38,0,0.0,clear sky
119,Vila Franca Do Campo,PT,37.7167,-25.4333,70.2,90,90,7.92,overcast clouds
120,Korla,CN,41.7597,86.1469,86.79,24,99,4.45,overcast clouds
121,Nanortalik,GL,60.1432,-45.2371,40.51,92,100,7.52,overcast clouds
122,Bredasdorp,ZA,-34.5322,20.0403,47.37,86,0,5.39,clear sky
123,Beloha,MG,-25.1667,45.05,68.77,55,0,1.61,clear sky
124,Itarema,BR,-2.9248,-39.9167,77.7,81,66,13.96,broken clouds
125,Albemarle,US,35.3501,-80.2001,73.26,98,0,0.0,clear sky
126,Caravelas,BR,-17.7125,-39.2481,69.4,92,32,3.31,scattered clouds
127,Pisco,PE,-13.7,-76.2167,56.01,94,100,4.61,mist
128,Ancud,CL,-41.8697,-73.8203,43.23,77,98,15.57,light rain
129,Bacum,MX,27.55,-110.0833,83.64,70,100,11.18,overcast clouds
130,Victoria,HK,22.2855,114.1577,91.45,67,16,11.01,few clouds
131,Chagoda,RU,59.164,35.3285,75.79,66,67,10.38,broken clouds
