City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
667,Gumdag,TM,39.2061,54.5906,85.64,17,0,4.43,clear sky
668,Mgandu,TZ,-5.95,34.1333,64.35,65,100,11.18,overcast clouds
669,Awbari,LY,26.5921,12.7805,88.77,14,17,10.38,few clouds
670,Kirillov,RU,59.863,38.3813,54.57,95,10,4.27,clear sky
671,Xining,CN,36.6167,101.7667,59.99,52,84,3.71,broken clouds
672,Port Augusta,AU,-32.5,137.7667,51.67,56,100,3.38,light rain
673,San Carlos,VE,9.6612,-68.5827,90.9,40,100,4.5,overcast clouds
674,Sarany,RU,58.5,58.8833,49.35,75,14,3.53,few clouds
675,San Juan,AR,-31.5375,-68.5364,54.41,33,1,9.75,clear sky
676,Kilindoni,TZ,-7.9139,39.6668,79.2,73,26,23.44,moderate rain
677,Buzmeyin,TM,38.0507,58.2056,76.73,29,0,2.3,clear sky
678,Teykovo,RU,56.858,40.5369,58.17,95,89,4.18,overcast clouds
679,Guarapari,BR,-20.6667,-40.4975,74.89,85,6,7.02,clear sky
680,Oyama,JP,36.3,139.8,70.59,79,85,3.18,overcast clouds
681,Pocone,BR,-16.2567,-56.6228,89.98,37,6,2.24,clear sky
682,Kinkala,CG,-4.3614,14.7644,73.53,66,14,2.59,few clouds
683,Dali,CN,25.7,100.1833,63.39,90,100,5.28,overcast clouds
684,Union City,US,37.5958,-122.0192,93.34,33,0,8.01,clear sky
685,Lakes Entrance,AU,-37.8811,147.981,48.96,89,30,10.2,scattered clouds
686,Ajtos,BG,42.7,27.25,67.42,82,7,1.36,clear sky
687,Chimoio,MZ,-19.1164,33.4833,55.26,88,20,3.8,few clouds
688,Cartagena,CO,10.3997,-75.5144,89.22,66,40,11.5,scattered clouds
689,Sunyani,GH,7.3399,-2.3268,77.77,74,81,3.38,broken clouds
690,Tokur,RU,53.1333,132.9,35.92,96,93,4.14,overcast clouds
691,Shimoda,JP,34.6667,138.95,61.11,81,72,1.34,light rain
